电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1356586,生命的感叹号,"中国
",剧情,,,,0.343 ,0.657 
1357214,皮壳之下,"中国
",悬疑,犯罪,,,0.352 ,0.648 
1357867,小倩,"中国
",动画,爱情,,,0.286 ,0.714 
1358114,湄公河巨兽,中国,惊悚,灾难,剧情,,0.328 ,0.672 
1358405,飞兔大联盟,比利时,动画,喜剧,冒险,,0.209 ,0.791 
1358924,巧儿,"中国
",剧情,,,,0.412 ,0.588 
1358945,野蛮人入侵,中国,剧情,动作,,,0.298 ,0.702 
1359153,芳草满天涯,"中国
",剧情,,,,0.356 ,0.644 
1359675,绝地追击,"中国
",犯罪,动作,灾难,,0.453 ,0.547 
1359725,瞒天过海,"中国
",剧情,悬疑,犯罪,8.8,0.240 ,0.760 
1362705,爱的重叠,"中国
",剧情,,,,,
1364503,夏天的蜗牛,"中国
",剧情,,,,0.302 ,0.698 
1366178,夜幕将至,"中国
",剧情,,,,0.573 ,0.427 
1366363,烟火人间,"中国
",纪录片,,,,0.335 ,0.665 
1366642,意外人生,"中国
",悬疑,爱情,家庭,,0.256 ,0.744 
1367022,生命中最特别的朋友,"法国
",剧情,,,,0.295 ,0.705 
1368198,拿破仑,"美国
",动作,冒险,传记,7.5,0.645 ,0.355 
1368677,超能一家人,"中国
",喜剧,家庭,奇幻,8,0.390 ,0.610 
1368974,永安镇故事集,"中国
",剧情,喜剧,,,0.339 ,0.661 
1368985,丛林启示录,"中国
",剧情,奇幻,冒险,,0.528 ,0.472 
1369676,普通男女,"中国
",剧情,家庭,,8.3,0.301 ,0.699 
1370294,我的青春岁月,"中国
",青春,儿童,战争,,0.446 ,0.554 
1370436,,,,,,,,
1370495,守护你,"中国
",纪录片,,,,0.406 ,0.594 
1370725,草木人间,"中国
",剧情,犯罪,,7.4,0.190 ,0.810 
1371010,二手杰作,"中国
",剧情,喜剧,,8.5,0.329 ,0.671 
1372095,你猜我是不是英雄！,,,,,,,
1372970,破冰少年,"中国
",剧情,,,,0.312 ,0.688 
1374349,孤注一掷,"中国
",犯罪,剧情,,9.1,0.359 ,0.641 
1374577,特技狂人,"美国
",动作,喜剧,,9,0.476 ,0.524 
1374909,乘船而去,"中国
",剧情,家庭,,9,0.342 ,0.658 
1376729,大雨,"中国
",冒险,动画,奇幻,8.2,0.327 ,0.673 
1376751,,,,,,,,
1379047,有你真好！,"中国
",剧情,,,,0.373 ,0.627 
1379055,请别相信她,"中国
",爱情,喜剧,,8.8,0.364 ,0.636 
1379298,当我要飞时,"中国
",剧情,喜剧,青春,,0.378 ,0.622 
1380048,青春破晓,"中国
",剧情,历史,青春,,,
1381898,疾速营救,"法国
",动作,犯罪,,,0.521 ,0.479 
1383605,灌篮高手,"日本
",动画,青春,热血,9.2,0.605 ,0.395 
1383679,生命如花爱如蜜,"中国
",爱情,,,,0.416 ,0.584 
1385790,望道,"中国
",剧情,革命,历史,9.3,0.286 ,0.714 
1385816,八臂哪吒城的传说,"中国
",动画,神话,,,0.462 ,0.538 
1385822,,,,,,,,
1385865,三大队,"中国
",剧情,犯罪,,9.3,0.389 ,0.611 
1385876,谁说我不靠谱,"中国
",剧情,,,,0.423 ,0.577 
1385972,觅渡,"中国
",历史,传记,,,0.374 ,0.626 
1385991,诗和远方的聚会,"中国
",剧情,,,,0.383 ,0.617 
1387181,悬崖下72小时,"中国
",喜剧,冒险,,,0.342 ,0.658 
1393532,爸爸的谎言,"中国
",剧情,家庭,儿童,,0.314 ,0.686 
1393548,白床单,"中国
",剧情,,,,0.439 ,0.561 
1394027,此生有约,"中国
",剧情,励志,,,0.385 ,0.615 
1394087,大工斩玉,"中国
",纪录片,,,,0.286 ,0.714 
1394434,翻转的手心,"中国
",纪录片,,,,0.195 ,0.805 
1394753,功夫王之萌虎上山,"中国
",动画,冒险,喜剧,,0.274 ,0.726 
1394780,孤山,"中国
",剧情,,,,0.350 ,0.650 
1395080,花开那年,"中国
",剧情,励志,,,0.371 ,0.629 
1395223,,,,,,,,
1395698,老爸老妈,"中国
",剧情,家庭,亲情,,0.284 ,0.716 
1396154,美人记·昭君,"中国
",古装,爱情,传记,,,
1396246,长安诡事传,,,,,,,
1396308,魔幻奇缘之宝石公主,"中国
",动画,冒险,合家欢,,0.226 ,0.774 
1397095,色彩中国,"中国
",纪录片,,,,,
1397103,古庙迷杀,"中国
",恐怖,惊悚,,,0.371 ,0.629 
1397132,山里的梦,"中国
",儿童,励志,,,0.297 ,0.703 
1397232,少年先锋,"中国
",剧情,儿童,,,0.299 ,0.701 
1398070,我不是天才,"中国
",剧情,儿童,运动,,,
1398163,我的游戏情人,"中国
",爱情,奇幻,喜剧,,0.497 ,0.503 
1398252,我是刑警王,"中国
",剧情,,,,0.486 ,0.514 
1398323,,,,,,,,
1398357,武术先生,"中国
",动作,励志,,,0.565 ,0.435 
1398515,向日葵中队,"中国
",剧情,,,,0.272 ,0.728 
1398529,家有儿女之神犬当家,中国,家庭,喜剧,科幻,,0.246 ,0.754 
1398580,小马鞭,"中国
",剧情,儿童,,,0.300 ,0.700 
1398840,学爸,"中国
",剧情,喜剧,,9.3,0.274 ,0.726 
1399197,樱桃崮下,"中国
",家庭,,,,0.398 ,0.602 
1399450,在那遥远的北方,"中国
",剧情,,,,0.364 ,0.636 
1399923,爱犬奇缘,"中国
",爱情,喜剧,动物,,0.237 ,0.763 
1404730,最后的真相,"中国
",剧情,悬疑,犯罪,8.8,0.278 ,0.722 
1405256,前任4：英年早婚,"中国
",爱情,喜剧,,8.7,0.425 ,0.575 
1405602,朝云暮雨,"中国
",剧情,家庭,犯罪,,0.354 ,0.646 
1410386,铃芽之旅,"日本
",爱情,动画,奇幻,9,0.506 ,0.494 
1411266,川流不“熄”,"中国
",剧情,家庭,公路,8.6,0.397 ,0.603 
1412974,大洋追鱼记,"中国
",纪录片,,,,0.339 ,0.661 
1412989,九江口（戏曲 京剧）,"中国
",戏曲,,,,,
1413030,一定拿到手,"中国
",喜剧,爱情,剧情,,0.296 ,0.704 
1413045,白于山之歌,"中国
",剧情,,,,0.489 ,0.511 
1413066,天降大任,"中国
",喜剧,奇幻,冒险,9.1,0.240 ,0.760 
1413127,楠溪之恋,"中国
",剧情,,,,0.418 ,0.582 
1413218,我的姐妹是网红之追梦花,"中国
",励志,喜剧,,,0.370 ,0.630 
1413252,八角笼中,"中国
",剧情,,,9.5,0.398 ,0.602 
1413255,疯狂小世界,"中国
",动画,冒险,合家欢,,0.253 ,0.747 
1413284,不动声色,"中国
",刑侦,,,,0.527 ,0.473 
